Year,Region,Technology,Value,Type
2020,DE,CHP_Biomass_Solid,0.0,NewCapacity
2030,DE,CHP_Biomass_Solid,0.0,NewCapacity
2040,DE,CHP_Biomass_Solid,0.0,NewCapacity
2050,DE,CHP_Biomass_Solid,0.0,NewCapacity
2020,DK,CHP_Biomass_Solid,0.0,NewCapacity
2030,DK,CHP_Biomass_Solid,0.0,NewCapacity
2040,DK,CHP_Biomass_Solid,0.0,NewCapacity
2050,DK,CHP_Biomass_Solid,0.0,NewCapacity
2020,FR,CHP_Biomass_Solid,0.0,NewCapacity
2030,FR,CHP_Biomass_Solid,0.0,NewCapacity
2040,FR,CHP_Biomass_Solid,0.0,NewCapacity
2050,FR,CHP_Biomass_Solid,0.0,NewCapacity
2020,NO,CHP_Biomass_Solid,0.0,NewCapacity
2030,NO,CHP_Biomass_Solid,0.0,NewCapacity
2040,NO,CHP_Biomass_Solid,0.0,NewCapacity
2050,NO,CHP_Biomass_Solid,0.0,NewCapacity
2020,UK,CHP_Biomass_Solid,0.0,NewCapacity
2030,UK,CHP_Biomass_Solid,0.0,NewCapacity
2040,UK,CHP_Biomass_Solid,0.0,NewCapacity
2050,UK,CHP_Biomass_Solid,0.0,NewCapacity
2020,DE,CHP_Biomass_Solid_CCS,0.0,NewCapacity
2030,DE,CHP_Biomass_Solid_CCS,0.0,NewCapacity
2040,DE,CHP_Biomass_Solid_CCS,4.8995443392786795,NewCapacity
2050,DE,CHP_Biomass_Solid_CCS,1.1004076611053168,NewCapacity
2020,DK,CHP_Biomass_Solid_CCS,0.0,NewCapacity
2030,DK,CHP_Biomass_Solid_CCS,0.0,NewCapacity
2040,DK,CHP_Biomass_Solid_CCS,0.3367742758099203,NewCapacity
2050,DK,CHP_Biomass_Solid_CCS,0.26322092422847937,NewCapacity
2020,FR,CHP_Biomass_Solid_CCS,0.0,NewCapacity
2030,FR,CHP_Biomass_Solid_CCS,0.0,NewCapacity
2040,FR,CHP_Biomass_Solid_CCS,4.578886504022774,NewCapacity
2050,FR,CHP_Biomass_Solid_CCS,0.7010712563151431,NewCapacity
2020,NO,CHP_Biomass_Solid_CCS,0.0,NewCapacity
2030,NO,CHP_Biomass_Solid_CCS,0.0,NewCapacity
2040,NO,CHP_Biomass_Solid_CCS,0.7478124628176772,NewCapacity
2050,NO,CHP_Biomass_Solid_CCS,0.0,NewCapacity
2020,UK,CHP_Biomass_Solid_CCS,0.0,NewCapacity
2030,UK,CHP_Biomass_Solid_CCS,0.0,NewCapacity
2040,UK,CHP_Biomass_Solid_CCS,0.8558118192705267,NewCapacity
2050,UK,CHP_Biomass_Solid_CCS,2.5041613009445114,NewCapacity
2020,DE,CHP_Coal_Hardcoal,0.0,NewCapacity
2030,DE,CHP_Coal_Hardcoal,0.0,NewCapacity
2040,DE,CHP_Coal_Hardcoal,0.0,NewCapacity
2050,DE,CHP_Coal_Hardcoal,0.0,NewCapacity
2020,DK,CHP_Coal_Hardcoal,0.0,NewCapacity
2030,DK,CHP_Coal_Hardcoal,0.0,NewCapacity
2040,DK,CHP_Coal_Hardcoal,0.0,NewCapacity
2050,DK,CHP_Coal_Hardcoal,0.0,NewCapacity
2020,FR,CHP_Coal_Hardcoal,0.0,NewCapacity
2030,FR,CHP_Coal_Hardcoal,0.0,NewCapacity
2040,FR,CHP_Coal_Hardcoal,0.0,NewCapacity
2050,FR,CHP_Coal_Hardcoal,0.0,NewCapacity
2020,NO,CHP_Coal_Hardcoal,0.0,NewCapacity
2030,NO,CHP_Coal_Hardcoal,0.0,NewCapacity
2040,NO,CHP_Coal_Hardcoal,0.0,NewCapacity
2050,NO,CHP_Coal_Hardcoal,0.0,NewCapacity
2020,UK,CHP_Coal_Hardcoal,0.0,NewCapacity
2030,UK,CHP_Coal_Hardcoal,0.0,NewCapacity
2040,UK,CHP_Coal_Hardcoal,0.0,NewCapacity
2050,UK,CHP_Coal_Hardcoal,0.0,NewCapacity
2020,DE,CHP_Gas_CCGT_Natural,0.0,NewCapacity
2030,DE,CHP_Gas_CCGT_Natural,0.0,NewCapacity
2040,DE,CHP_Gas_CCGT_Natural,0.0,NewCapacity
2050,DE,CHP_Gas_CCGT_Natural,0.0,NewCapacity
2020,DK,CHP_Gas_CCGT_Natural,0.0,NewCapacity
2030,DK,CHP_Gas_CCGT_Natural,0.0,NewCapacity
2040,DK,CHP_Gas_CCGT_Natural,0.0,NewCapacity
2050,DK,CHP_Gas_CCGT_Natural,0.0,NewCapacity
2020,FR,CHP_Gas_CCGT_Natural,0.0,NewCapacity
2030,FR,CHP_Gas_CCGT_Natural,0.0,NewCapacity
2040,FR,CHP_Gas_CCGT_Natural,0.0,NewCapacity
2050,FR,CHP_Gas_CCGT_Natural,0.0,NewCapacity
2020,NO,CHP_Gas_CCGT_Natural,0.0,NewCapacity
2030,NO,CHP_Gas_CCGT_Natural,0.0,NewCapacity
2040,NO,CHP_Gas_CCGT_Natural,0.0,NewCapacity
2050,NO,CHP_Gas_CCGT_Natural,0.0,NewCapacity
2020,UK,CHP_Gas_CCGT_Natural,0.0,NewCapacity
2030,UK,CHP_Gas_CCGT_Natural,0.0,NewCapacity
2040,UK,CHP_Gas_CCGT_Natural,0.0,NewCapacity
2050,UK,CHP_Gas_CCGT_Natural,0.0,NewCapacity
2020,DE,CHP_Gas_CCGT_Natural_CCS,0.0,NewCapacity
2030,DE,CHP_Gas_CCGT_Natural_CCS,0.0,NewCapacity
2040,DE,CHP_Gas_CCGT_Natural_CCS,0.0,NewCapacity
2050,DE,CHP_Gas_CCGT_Natural_CCS,0.0,NewCapacity
2020,DK,CHP_Gas_CCGT_Natural_CCS,0.0,NewCapacity
2030,DK,CHP_Gas_CCGT_Natural_CCS,0.0,NewCapacity
2040,DK,CHP_Gas_CCGT_Natural_CCS,0.0,NewCapacity
2050,DK,CHP_Gas_CCGT_Natural_CCS,0.0,NewCapacity
2020,FR,CHP_Gas_CCGT_Natural_CCS,0.0,NewCapacity
2030,FR,CHP_Gas_CCGT_Natural_CCS,0.0,NewCapacity
2040,FR,CHP_Gas_CCGT_Natural_CCS,0.0,NewCapacity
2050,FR,CHP_Gas_CCGT_Natural_CCS,0.0,NewCapacity
2020,NO,CHP_Gas_CCGT_Natural_CCS,0.0,NewCapacity
2030,NO,CHP_Gas_CCGT_Natural_CCS,0.0,NewCapacity
2040,NO,CHP_Gas_CCGT_Natural_CCS,0.0,NewCapacity
2050,NO,CHP_Gas_CCGT_Natural_CCS,0.0,NewCapacity
2020,UK,CHP_Gas_CCGT_Natural_CCS,0.0,NewCapacity
2030,UK,CHP_Gas_CCGT_Natural_CCS,0.0,NewCapacity
2040,UK,CHP_Gas_CCGT_Natural_CCS,0.0,NewCapacity
2050,UK,CHP_Gas_CCGT_Natural_CCS,0.0,NewCapacity
2020,DE,CHP_Hydrogen_FuelCell,0.0,NewCapacity
2030,DE,CHP_Hydrogen_FuelCell,0.0,NewCapacity
2040,DE,CHP_Hydrogen_FuelCell,0.0,NewCapacity
2050,DE,CHP_Hydrogen_FuelCell,0.0,NewCapacity
2020,DK,CHP_Hydrogen_FuelCell,0.0,NewCapacity
2030,DK,CHP_Hydrogen_FuelCell,0.0,NewCapacity
2040,DK,CHP_Hydrogen_FuelCell,0.0,NewCapacity
2050,DK,CHP_Hydrogen_FuelCell,0.0,NewCapacity
2020,FR,CHP_Hydrogen_FuelCell,0.0,NewCapacity
2030,FR,CHP_Hydrogen_FuelCell,0.0,NewCapacity
2040,FR,CHP_Hydrogen_FuelCell,0.0,NewCapacity
2050,FR,CHP_Hydrogen_FuelCell,0.0,NewCapacity
2020,NO,CHP_Hydrogen_FuelCell,0.0,NewCapacity
2030,NO,CHP_Hydrogen_FuelCell,0.0,NewCapacity
2040,NO,CHP_Hydrogen_FuelCell,0.0,NewCapacity
2050,NO,CHP_Hydrogen_FuelCell,0.0,NewCapacity
2020,UK,CHP_Hydrogen_FuelCell,0.0,NewCapacity
2030,UK,CHP_Hydrogen_FuelCell,0.0,NewCapacity
2040,UK,CHP_Hydrogen_FuelCell,0.0,NewCapacity
2050,UK,CHP_Hydrogen_FuelCell,0.0,NewCapacity
2020,DE,CHP_Oil,0.0,NewCapacity
2030,DE,CHP_Oil,0.0,NewCapacity
2040,DE,CHP_Oil,0.0,NewCapacity
2050,DE,CHP_Oil,0.0,NewCapacity
2020,DK,CHP_Oil,0.0,NewCapacity
2030,DK,CHP_Oil,0.0,NewCapacity
2040,DK,CHP_Oil,0.0,NewCapacity
2050,DK,CHP_Oil,0.0,NewCapacity
2020,FR,CHP_Oil,0.0,NewCapacity
2030,FR,CHP_Oil,0.0,NewCapacity
2040,FR,CHP_Oil,0.0,NewCapacity
2050,FR,CHP_Oil,0.0,NewCapacity
2020,NO,CHP_Oil,0.0,NewCapacity
2030,NO,CHP_Oil,0.0,NewCapacity
2040,NO,CHP_Oil,0.0,NewCapacity
2050,NO,CHP_Oil,0.0,NewCapacity
2020,UK,CHP_Oil,0.0,NewCapacity
2030,UK,CHP_Oil,0.0,NewCapacity
2040,UK,CHP_Oil,0.0,NewCapacity
2050,UK,CHP_Oil,0.0,NewCapacity
2020,DE,HB_Biomass,0.0,NewCapacity
2030,DE,HB_Biomass,0.0,NewCapacity
2040,DE,HB_Biomass,0.0,NewCapacity
2050,DE,HB_Biomass,0.0,NewCapacity
2020,DK,HB_Biomass,0.0,NewCapacity
2030,DK,HB_Biomass,0.0,NewCapacity
2040,DK,HB_Biomass,0.0,NewCapacity
2050,DK,HB_Biomass,0.0,NewCapacity
2020,FR,HB_Biomass,0.0,NewCapacity
2030,FR,HB_Biomass,0.0,NewCapacity
2040,FR,HB_Biomass,0.0,NewCapacity
2050,FR,HB_Biomass,0.0,NewCapacity
2020,NO,HB_Biomass,0.0,NewCapacity
2030,NO,HB_Biomass,0.0,NewCapacity
2040,NO,HB_Biomass,0.0,NewCapacity
2050,NO,HB_Biomass,0.0,NewCapacity
2020,UK,HB_Biomass,0.0,NewCapacity
2030,UK,HB_Biomass,0.0,NewCapacity
2040,UK,HB_Biomass,0.0,NewCapacity
2050,UK,HB_Biomass,0.0,NewCapacity
2020,DE,HB_Direct_Electric,0.0,NewCapacity
2030,DE,HB_Direct_Electric,0.0,NewCapacity
2040,DE,HB_Direct_Electric,0.0,NewCapacity
2050,DE,HB_Direct_Electric,0.0,NewCapacity
2020,DK,HB_Direct_Electric,0.0,NewCapacity
2030,DK,HB_Direct_Electric,0.0,NewCapacity
2040,DK,HB_Direct_Electric,0.0,NewCapacity
2050,DK,HB_Direct_Electric,0.0,NewCapacity
2020,FR,HB_Direct_Electric,0.0,NewCapacity
2030,FR,HB_Direct_Electric,0.0,NewCapacity
2040,FR,HB_Direct_Electric,0.0,NewCapacity
2050,FR,HB_Direct_Electric,0.0,NewCapacity
2020,NO,HB_Direct_Electric,0.0,NewCapacity
2030,NO,HB_Direct_Electric,0.0,NewCapacity
