Year,From,To,Hour,Fuel,Value,Technology
2020,DE,DK,1,Power,0.0,Export
2020,DE,DK,1,Gas,0.0,Export
2020,DE,DK,2,Power,0.0,Export
2020,DE,DK,2,Gas,0.0,Export
2020,DE,DK,3,Power,24.70564315675489,Export
2020,DE,DK,3,Gas,0.0,Export
2020,DE,DK,4,Power,56.60426956961663,Export
2020,DE,DK,4,Gas,0.0,Export
2020,DE,DK,5,Power,90.33733763939459,Export
2020,DE,DK,5,Gas,0.0,Export
2020,DE,DK,6,Power,92.78369790367266,Export
2020,DE,DK,6,Gas,0.0,Export
2020,DE,DK,7,Power,0.0,Export
2020,DE,DK,7,Gas,0.0,Export
2020,DE,DK,8,Power,0.0,Export
2020,DE,DK,8,Gas,0.0,Export
2020,DE,DK,9,Power,0.0,Export
2020,DE,DK,9,Gas,0.0,Export
2020,DE,DK,10,Power,0.0,Export
2020,DE,DK,10,Gas,0.0,Export
2020,DE,DK,11,Power,0.0,Export
2020,DE,DK,11,Gas,0.0,Export
2020,DE,DK,12,Power,0.0,Export
2020,DE,DK,12,Gas,0.0,Export
2020,DE,DK,13,Power,0.0,Export
2020,DE,DK,13,Gas,0.0,Export
2020,DE,DK,14,Power,0.0,Export
2020,DE,DK,14,Gas,0.0,Export
2020,DE,DK,15,Power,0.0,Export
2020,DE,DK,15,Gas,0.0,Export
2020,DE,DK,16,Power,0.0,Export
2020,DE,DK,16,Gas,0.0,Export
2020,DE,DK,17,Power,0.0,Export
2020,DE,DK,17,Gas,0.0,Export
2020,DE,DK,18,Power,0.0,Export
2020,DE,DK,18,Gas,0.0,Export
2020,DE,DK,19,Power,0.0,Export
2020,DE,DK,19,Gas,0.0,Export
2020,DE,DK,20,Power,0.0,Export
2020,DE,DK,20,Gas,0.0,Export
2020,DE,DK,21,Power,0.0,Export
2020,DE,DK,21,Gas,0.0,Export
2020,DE,DK,22,Power,0.0,Export
2020,DE,DK,22,Gas,0.0,Export
2020,DE,DK,23,Power,0.0,Export
2020,DE,DK,23,Gas,0.0,Export
2020,DE,DK,24,Power,0.0,Export
2020,DE,DK,24,Gas,0.0,Export
2020,DE,DK,25,Power,0.0,Export
2020,DE,DK,25,Gas,0.0,Export
2020,DE,DK,26,Power,0.0,Export
2020,DE,DK,26,Gas,0.0,Export
2020,DE,DK,27,Power,0.0,Export
2020,DE,DK,27,Gas,0.0,Export
2020,DE,DK,28,Power,0.0,Export
2020,DE,DK,28,Gas,0.0,Export
2020,DE,DK,29,Power,0.0,Export
2020,DE,DK,29,Gas,0.0,Export
2020,DE,DK,30,Power,2.3538543587630127,Export
2020,DE,DK,30,Gas,0.0,Export
2020,DE,DK,31,Power,0.0,Export
2020,DE,DK,31,Gas,0.0,Export
2020,DE,DK,32,Power,0.0,Export
2020,DE,DK,32,Gas,0.0,Export
2020,DE,DK,33,Power,0.0,Export
2020,DE,DK,33,Gas,0.0,Export
2020,DE,DK,34,Power,0.0,Export
2020,DE,DK,34,Gas,0.0,Export
2020,DE,DK,35,Power,0.0,Export
2020,DE,DK,35,Gas,0.0,Export
2020,DE,DK,36,Power,0.0,Export
2020,DE,DK,36,Gas,0.0,Export
2020,DE,DK,37,Power,0.0,Export
2020,DE,DK,37,Gas,0.0,Export
2020,DE,DK,38,Power,0.0,Export
2020,DE,DK,38,Gas,0.0,Export
2020,DE,DK,39,Power,0.0,Export
2020,DE,DK,39,Gas,0.0,Export
2020,DE,DK,40,Power,0.0,Export
2020,DE,DK,40,Gas,0.0,Export
2020,DE,DK,41,Power,0.0,Export
2020,DE,DK,41,Gas,0.0,Export
2020,DE,DK,42,Power,0.0,Export
2020,DE,DK,42,Gas,0.0,Export
2020,DE,DK,43,Power,0.0,Export
2020,DE,DK,43,Gas,0.0,Export
