Year,Region,Technology,Value
2020,DE,CHP_Biomass_Solid,0.0
2030,DE,CHP_Biomass_Solid,0.0
2040,DE,CHP_Biomass_Solid,0.0
2050,DE,CHP_Biomass_Solid,0.0
2020,DK,CHP_Biomass_Solid,0.0
2030,DK,CHP_Biomass_Solid,0.0
2040,DK,CHP_Biomass_Solid,0.0
2050,DK,CHP_Biomass_Solid,0.0
2020,FR,CHP_Biomass_Solid,0.0
2030,FR,CHP_Biomass_Solid,0.0
2040,FR,CHP_Biomass_Solid,0.0
2050,FR,CHP_Biomass_Solid,0.0
2020,NO,CHP_Biomass_Solid,0.0
2030,NO,CHP_Biomass_Solid,0.0
2040,NO,CHP_Biomass_Solid,0.0
2050,NO,CHP_Biomass_Solid,0.0
2020,UK,CHP_Biomass_Solid,0.0
2030,UK,CHP_Biomass_Solid,0.0
2040,UK,CHP_Biomass_Solid,0.0
2050,UK,CHP_Biomass_Solid,0.0
2020,DE,CHP_Biomass_Solid_CCS,0.0
2030,DE,CHP_Biomass_Solid_CCS,0.0
2040,DE,CHP_Biomass_Solid_CCS,-57345.6742463999
2050,DE,CHP_Biomass_Solid_CCS,-70173.15661400012
2020,DK,CHP_Biomass_Solid_CCS,0.0
2030,DK,CHP_Biomass_Solid_CCS,0.0
2040,DK,CHP_Biomass_Solid_CCS,-3948.305840934376
2050,DK,CHP_Biomass_Solid_CCS,-7034.279999999988
2020,FR,CHP_Biomass_Solid_CCS,0.0
2030,FR,CHP_Biomass_Solid_CCS,0.0
2040,FR,CHP_Biomass_Solid_CCS,-53682.37905145887
2050,FR,CHP_Biomass_Solid_CCS,-61901.66399999981
2020,NO,CHP_Biomass_Solid_CCS,0.0
2030,NO,CHP_Biomass_Solid_CCS,0.0
2040,NO,CHP_Biomass_Solid_CCS,-8767.273889211894
2050,NO,CHP_Biomass_Solid_CCS,-8767.273889211872
2020,UK,CHP_Biomass_Solid_CCS,0.0
2030,UK,CHP_Biomass_Solid_CCS,0.0
2040,UK,CHP_Biomass_Solid_CCS,-10033.44687369662
2050,UK,CHP_Biomass_Solid_CCS,-38713.453075000034
2020,DE,CHP_Coal_Hardcoal,311.09337602187
2030,DE,CHP_Coal_Hardcoal,87.56639344479
2040,DE,CHP_Coal_Hardcoal,0.0
2050,DE,CHP_Coal_Hardcoal,0.0
2020,DK,CHP_Coal_Hardcoal,0.0
2030,DK,CHP_Coal_Hardcoal,0.0
2040,DK,CHP_Coal_Hardcoal,0.0
2050,DK,CHP_Coal_Hardcoal,0.0
2020,FR,CHP_Coal_Hardcoal,0.0
2030,FR,CHP_Coal_Hardcoal,0.0
2040,FR,CHP_Coal_Hardcoal,0.0
2050,FR,CHP_Coal_Hardcoal,0.0
2020,NO,CHP_Coal_Hardcoal,0.0
2030,NO,CHP_Coal_Hardcoal,0.0
2040,NO,CHP_Coal_Hardcoal,0.0
2050,NO,CHP_Coal_Hardcoal,0.0
2020,UK,CHP_Coal_Hardcoal,0.0
2030,UK,CHP_Coal_Hardcoal,0.0
2040,UK,CHP_Coal_Hardcoal,0.0
2050,UK,CHP_Coal_Hardcoal,0.0
2020,DE,CHP_Gas_CCGT_Natural,65168.33790841031
2030,DE,CHP_Gas_CCGT_Natural,65064.062943309844
